Absent,0.139,0.831,0.161,0.382,0.765,0.98,-0.38,-0.07,5.26,36.18,-41.24
Absent,0.141,0.831,0.162,0.389,0.764,1.00,0.66,0.35,2.23,-40.44,40.44
Absent,0.133,0.821,0.161,0.409,0.776,0.96,0.06,0.26,-6.51,27.27,-73.17
Absent,0.128,0.825,0.159,0.439,0.781,0.90,0.46,0.26,-7.57,3.33,2.72
Absent,0.153,0.850,0.161,0.453,0.772,0.88,0.44,0.28,-1.84,1.44,2.26
Absent,0.152,0.849,0.163,0.440,0.767,0.86,0.45,0.31,-4.11,-0.56,-0.09
Absent,0.127,0.877,0.168,0.452,0.748,0.89,0.34,0.27,0.03,-0.89,5.94
Absent,0.123,0.864,0.164,0.448,0.752,0.90,0.39,0.30,-3.56,2.70,-1.27
Absent,0.151,0.857,0.176,0.433,0.738,0.89,0.38,0.31,-3.80,-0.05,-1.31
Absent,0.146,0.844,0.179,0.446,0.737,0.89,0.37,0.29,-3.08,0.90,-1.74
Absent,0.143,0.844,0.205,0.443,0.781,0.88,0.41,0.32,-0.74,1.84,0.13
Absent,0.140,0.835,0.199,0.425,0.773,0.90,0.38,0.33,-2.81,-1.22,2.69
Absent,0.120,0.828,0.187,0.328,0.766,0.89,0.34,0.33,2.66,-0.14,-5.12
Absent,0.124,0.826,0.179,0.331,0.774,0.91,0.34,0.35,-3.00,-2.13,-2.48
Absent,0.119,0.833,0.160,0.332,0.770,0.91,0.36,0.29,-2.40,-2.23,-1.02
Absent,0.124,0.835,0.161,0.351,0.779,0.93,0.33,0.24,-1.25,2.37,1.54
Absent,0.120,0.861,0.177,0.335,0.778,0.93,0.32,0.26,-0.85,-0.24,-0.26
Absent,0.122,0.854,0.174,0.329,0.771,0.92,0.30,0.24,7.94,-4.05,0.49
Absent,0.121,0.860,0.171,0.369,0.771,0.94,0.34,0.30,3.27,0.54,-0.24
Absent,0.122,0.856,0.170,0.367,0.769,0.91,0.32,0.31,0.91,-2.86,-1.38
Absent,0.144,0.825,0.167,0.250,0.813,0.94,0.30,0.27,2.50,-1.74,-0.46
Absent,0.144,0.820,0.161,0.269,0.806,0.87,0.34,0.38,-4.17,0.69,0.87
Absent,0.150,0.793,0.167,0.191,0.802,0.90,0.37,0.37,4.34,-5.15,4.89
Absent,0.151,0.793,0.168,0.229,0.793,0.93,0.33,0.32,-6.31,-8.67,-3.18
Absent,0.146,0.800,0.170,0.262,0.791,0.95,0.32,0.25,0.69,-6.92,1.67
Absent,0.143,0.804,0.168,0.288,0.791,0.96,0.31,0.21,1.32,-0.69,-1.02
Absent,0.151,0.800,0.166,0.318,0.788,0.96,0.32,0.27,0.76,3.47,-3.17
Absent,0.149,0.805,0.166,0.325,0.778,0.94,0.32,0.29,-1.98,3.53,-2.98
Absent,0.150,0.812,0.167,0.334,0.780,0.93,0.28,0.25,-0.92,-0.44,-1.47
Absent,0.162,0.813,0.166,0.351,0.780,0.93,0.29,0.27,-2.12,-1.02,-0.64
