No,0.630,0.254,0.494,0.346,0.576,0.93,-0.15,0.53,-6.67,-37.61,-5.22
No,0.629,0.273,0.471,0.332,0.580,0.98,-0.01,0.30,3.31,-37.62,-1.15
No,0.635,0.292,0.481,0.336,0.582,0.98,-0.10,0.64,8.29,-25.73,6.69
No,0.633,0.309,0.514,0.340,0.580,0.97,-0.10,0.35,1.05,11.63,3.07
No,0.630,0.323,0.516,0.382,0.610,0.98,-0.14,0.35,-5.85,-9.14,-5.38
No,0.630,0.332,0.512,0.372,0.604,0.95,-0.06,0.37,-7.98,-5.91,-4.08
No,0.631,0.341,0.509,0.367,0.599,0.94,-0.10,0.38,-3.76,-0.89,-4.42
No,0.631,0.348,0.505,0.363,0.597,0.98,-0.01,0.32,2.37,-4.15,1.02
No,0.633,0.357,0.510,0.362,0.594,0.98,0.05,0.32,-0.60,7.93,-3.07
No,0.636,0.364,0.506,0.348,0.593,1.00,0.11,0.27,-6.75,0.19,2.02
No,0.633,0.378,0.494,0.351,0.593,1.00,0.01,0.30,-2.92,7.55,2.37
No,0.632,0.385,0.500,0.349,0.590,0.97,-0.06,0.32,0.75,-5.66,3.57
No,0.633,0.389,0.503,0.348,0.579,0.97,-0.05,0.31,-2.09,-7.88,-5.13
No,0.635,0.395,0.502,0.350,0.585,0.96,0.01,0.34,-2.50,1.47,-5.21
No,0.634,0.394,0.499,0.364,0.584,0.99,0.07,0.26,-5.00,-4.09,-7.50
No,0.635,0.410,0.504,0.363,0.664,1.00,0.14,0.22,-6.07,-5.66,0.21
No,0.634,0.410,0.493,0.362,0.652,0.96,0.06,0.32,-3.29,6.11,2.90
No,0.637,0.408,0.491,0.371,0.645,1.00,0.09,0.24,-3.35,1.78,-3.77
No,0.644,0.404,0.500,0.369,0.635,0.97,0.12,0.28,-3.50,-6.21,-3.74
No,0.638,0.408,0.501,0.361,0.628,0.97,0.13,0.25,-3.96,-3.25,-1.39
No,0.723,0.398,0.496,0.362,0.729,0.99,0.11,0.24,-1.57,0.02,0.20
No,0.702,0.402,0.594,0.347,0.706,1.00,0.13,0.22,-3.35,0.20,-1.72
No,0.693,0.396,0.577,0.345,0.688,0.99,0.14,0.22,-4.79,-0.60,-0.54
No,0.687,0.420,0.547,0.434,0.640,0.96,0.17,0.25,-1.11,-11.79,-8.80
No,0.681,0.413,0.540,0.408,0.628,0.99,0.12,0.23,1.08,2.06,7.37
No,0.673,0.409,0.531,0.402,0.622,1.01,0.13,0.23,-0.21,6.47,7.34
No,0.684,0.423,0.535,0.397,0.622,0.95,-0.03,0.37,-1.93,14.82,10.65
No,0.680,0.417,0.526,0.392,0.613,0.96,-0.10,0.39,-9.51,3.40,-3.64
No,0.672,0.411,0.520,0.393,0.609,0.90,-0.07,0.45,-0.24,4.29,6.60
No,0.669,0.391,0.495,0.383,0.596,0.94,-0.07,0.43,-1.65,-2.28,0.56
