SOGIESC,0.262,0.931,0.627,0.325,0.371,0.96,-0.25,0.22,4.44,2.54,0.05
SOGIESC,0.260,0.937,0.624,0.326,0.387,0.97,-0.26,0.21,-5.13,-1.73,0.89
SOGIESC,0.261,0.939,0.631,0.327,0.399,1.01,-0.28,0.22,-3.25,8.40,1.76
SOGIESC,0.257,0.940,0.627,0.325,0.403,1.07,-0.36,0.23,-18.63,54.56,-23.52
SOGIESC,0.256,0.938,0.624,0.322,0.398,0.75,0.09,0.39,4.56,250.13,31.50
SOGIESC,0.253,0.914,0.608,0.319,0.396,0.54,-0.38,0.80,-189.44,68.28,0.43
SOGIESC,0.250,0.887,0.581,0.315,0.382,0.89,-0.37,0.45,83.72,-69.48,21.47
SOGIESC,0.250,0.868,0.568,0.311,0.370,0.86,-0.28,0.41,-35.46,-80.57,-23.41
SOGIESC,0.273,0.880,0.533,0.310,0.381,0.96,-0.34,0.38,-5.95,-101.57,-43.42
SOGIESC,0.264,0.893,0.559,0.312,0.385,0.86,-0.29,0.29,87.80,-111.86,16.92
SOGIESC,0.271,0.924,0.593,0.317,0.395,0.86,-0.45,-0.08,22.63,19.09,-13.83
SOGIESC,0.240,1.000,0.617,0.321,0.406,0.97,-0.31,0.25,-76.55,-15.13,-12.65
SOGIESC,0.251,1.000,0.652,0.325,0.423,0.98,-0.43,0.24,11.51,-0.69,-10.26
SOGIESC,0.248,1.000,0.662,0.326,0.430,0.93,-0.47,0.02,49.65,27.90,-4.65
SOGIESC,0.251,1.000,0.662,0.323,0.429,0.74,0.34,0.64,-130.82,140.65,-24.15
SOGIESC,0.259,0.986,0.649,0.318,0.410,0.85,-0.90,0.38,24.54,-2.50,21.00
SOGIESC,0.254,0.961,0.636,0.315,0.394,0.86,-0.18,0.39,47.40,-9.72,4.87
SOGIESC,0.248,0.938,0.623,0.312,0.383,0.73,-0.35,0.40,71.48,-3.68,31.76
SOGIESC,0.249,0.940,0.609,0.309,0.375,0.76,-0.29,0.34,196.66,-26.94,55.95
SOGIESC,0.252,0.944,0.625,0.309,0.380,0.79,-0.13,0.24,250.13,-10.59,69.50
SOGIESC,0.266,0.958,0.644,0.313,0.397,0.75,0.03,0.36,250.13,20.25,72.64
SOGIESC,0.308,0.969,0.655,0.317,0.412,0.85,0.14,0.45,156.41,-7.48,34.76
SOGIESC,0.329,0.976,0.678,0.321,0.440,0.96,0.02,0.52,66.82,-3.18,10.03
SOGIESC,0.330,0.985,0.694,0.325,0.462,0.96,0.00,0.65,51.11,9.86,-2.68
SOGIESC,0.331,0.986,0.708,0.328,0.485,0.99,-0.01,0.70,45.79,6.08,-10.35
SOGIESC,0.335,0.983,0.716,0.329,0.503,0.95,-0.07,0.68,46.86,2.54,-7.56
SOGIESC,0.336,0.988,0.723,0.331,0.518,0.94,0.09,0.67,58.17,10.66,0.93
SOGIESC,0.347,0.975,0.729,0.332,0.532,0.88,0.11,0.67,14.14,9.89,-2.85
SOGIESC,0.335,0.981,0.729,0.334,0.547,0.86,0.13,0.63,9.93,8.56,-2.19
SOGIESC,0.345,0.976,0.734,0.341,0.547,0.84,0.17,0.59,6.01,8.15,1.55
