See You Tomorrow,0.873,0.621,0.479,0.423,0.834,0.50,0.02,0.28,67.18,70.14,-250.14
See You Tomorrow,0.875,0.625,0.488,0.416,0.852,0.68,0.35,0.14,-84.01,10.11,250.13
See You Tomorrow,0.895,0.660,0.498,0.390,0.854,-0.19,0.44,-0.10,250.13,159.24,-231.52
See You Tomorrow,0.889,0.667,0.510,0.394,0.859,0.39,0.97,0.02,-11.42,1.54,-8.73
See You Tomorrow,0.886,0.670,0.514,0.401,0.865,0.33,0.95,0.19,-10.84,2.82,-1.06
See You Tomorrow,0.860,0.675,0.516,0.400,0.864,0.34,0.92,0.12,-6.71,-7.07,-1.02
See You Tomorrow,0.860,0.679,0.523,0.393,0.868,0.39,0.85,0.16,-8.12,0.05,-0.65
See You Tomorrow,0.853,0.682,0.527,0.368,0.871,0.36,0.91,0.20,3.60,4.62,-1.30
See You Tomorrow,0.848,0.684,0.521,0.379,0.871,0.35,0.92,0.18,5.37,1.91,-3.44
See You Tomorrow,0.839,0.682,0.515,0.402,0.857,0.31,0.95,0.21,-1.28,-1.63,-3.38
See You Tomorrow,0.839,0.668,0.516,0.384,0.864,0.29,0.91,0.21,-2.17,1.07,-0.07
See You Tomorrow,0.841,0.671,0.516,0.403,0.868,0.29,0.92,0.19,-4.48,-0.33,-0.86
See You Tomorrow,0.844,0.674,0.517,0.454,0.869,0.31,0.93,0.19,-1.60,-0.84,-1.13
See You Tomorrow,0.846,0.677,0.519,0.454,0.868,0.30,0.94,0.18,-3.25,0.10,-0.82
See You Tomorrow,0.842,0.677,0.512,0.453,0.855,0.32,0.90,0.18,-0.54,0.44,1.50
See You Tomorrow,0.842,0.672,0.518,0.453,0.853,0.32,0.93,0.21,-8.13,-3.98,3.18
See You Tomorrow,0.847,0.667,0.520,0.427,0.858,0.37,0.90,0.17,-0.63,2.75,0.40
See You Tomorrow,0.849,0.664,0.506,0.436,0.847,0.42,0.91,0.14,-2.50,-3.35,0.29
See You Tomorrow,0.842,0.665,0.511,0.614,0.844,0.42,0.88,0.26,-13.76,-4.37,-2.05
See You Tomorrow,0.846,0.665,0.516,0.590,0.850,0.55,0.81,0.16,10.60,-3.08,9.15
See You Tomorrow,0.843,0.669,0.519,0.588,0.853,0.55,0.80,0.14,-4.60,0.34,-4.34
See You Tomorrow,0.840,0.664,0.521,0.550,0.849,0.50,0.86,0.21,-4.84,2.34,-2.89
See You Tomorrow,0.832,0.667,0.521,0.519,0.846,0.51,0.86,0.23,-10.56,-2.47,-3.02
See You Tomorrow,0.838,0.673,0.516,0.489,0.848,0.50,0.83,0.20,-4.20,3.97,-5.60
See You Tomorrow,0.806,0.652,0.525,0.359,0.841,0.49,0.84,0.26,-3.01,4.73,-2.89
See You Tomorrow,0.815,0.656,0.526,0.378,0.846,0.50,0.85,0.21,1.53,5.27,0.56
See You Tomorrow,0.807,0.658,0.517,0.330,0.851,0.49,0.83,0.24,-2.47,0.51,-0.77
See You Tomorrow,0.812,0.656,0.516,0.349,0.854,0.50,0.83,0.26,-2.39,0.70,-0.28
See You Tomorrow,0.819,0.658,0.523,0.356,0.850,0.54,0.84,0.22,-2.52,-2.05,3.76
See You Tomorrow,0.826,0.655,0.516,0.355,0.843,0.60,0.68,0.32,5.68,-3.77,-8.92
