Sexual Orientation,0.295,0.375,0.580,0.299,0.308,0.97,-0.11,0.33,-2.21,0.29,-1.45
Sexual Orientation,0.299,0.375,0.517,0.312,0.271,0.97,-0.12,0.34,-3.27,-1.20,0.05
Sexual Orientation,0.288,0.368,0.517,0.310,0.271,0.91,-0.12,0.33,-2.60,0.09,0.50
Sexual Orientation,0.284,0.365,0.517,0.308,0.272,0.87,-0.12,0.29,2.79,2.50,-0.98
Sexual Orientation,0.280,0.366,0.523,0.306,0.273,0.78,-0.08,0.21,10.20,14.08,-0.30
Sexual Orientation,0.286,0.370,0.524,0.292,0.239,0.60,-0.05,0.17,15.67,36.89,-2.48
Sexual Orientation,0.289,0.370,0.523,0.294,0.240,0.65,-0.03,0.29,38.99,59.65,-7.47
Sexual Orientation,0.291,0.367,0.522,0.294,0.246,1.06,-0.05,0.64,19.96,64.19,-8.42
Sexual Orientation,0.293,0.371,0.525,0.295,0.242,1.14,-0.13,0.74,73.87,45.46,-18.67
Sexual Orientation,0.289,0.407,0.508,0.295,0.243,1.29,0.06,0.88,76.14,16.73,1.76
Sexual Orientation,0.292,0.405,0.513,0.295,0.246,1.08,-0.07,0.84,16.99,-29.86,29.69
Sexual Orientation,0.288,0.396,0.514,0.293,0.247,0.99,-0.28,0.50,17.31,-5.82,-20.97
Sexual Orientation,0.294,0.431,0.511,0.291,0.272,0.83,-0.17,0.23,173.80,155.89,-9.11
Sexual Orientation,0.294,0.421,0.495,0.288,0.256,0.62,0.07,0.15,250.13,206.66,61.03
Sexual Orientation,0.288,0.413,0.478,0.285,0.251,0.55,0.38,0.06,250.13,250.13,170.95
Sexual Orientation,0.282,0.401,0.460,0.282,0.238,0.68,0.79,0.29,250.13,90.70,250.13
Sexual Orientation,0.290,0.392,0.449,0.280,0.234,0.82,0.92,0.39,250.13,-87.22,250.13
Sexual Orientation,0.285,0.382,0.432,0.278,0.224,0.90,0.65,0.44,167.82,-100.24,181.56
Sexual Orientation,0.288,0.381,0.428,0.277,0.216,0.96,0.43,0.23,40.95,-27.53,60.55
Sexual Orientation,0.319,0.418,0.371,0.272,0.233,0.86,0.25,0.15,2.93,-46.67,24.47
Sexual Orientation,0.306,0.411,0.369,0.270,0.213,0.94,0.25,0.11,26.47,-19.11,3.13
Sexual Orientation,0.301,0.402,0.368,0.268,0.208,0.95,0.39,0.04,12.50,-19.11,-19.28
Sexual Orientation,0.264,0.397,0.363,0.268,0.190,0.89,0.31,-0.01,8.68,-21.32,-14.90
Sexual Orientation,0.265,0.387,0.363,0.267,0.191,0.89,0.18,0.02,49.92,-3.91,-15.62
Sexual Orientation,0.264,0.385,0.359,0.266,0.191,1.04,0.41,0.04,45.99,-23.74,-27.42
Sexual Orientation,0.262,0.380,0.353,0.265,0.188,1.25,0.58,0.07,11.59,-8.02,-19.88
Sexual Orientation,0.263,0.398,0.360,0.262,0.207,1.29,0.85,-0.06,0.38,15.82,0.10
Sexual Orientation,0.254,0.394,0.355,0.261,0.201,1.09,0.56,-0.07,-30.34,41.53,13.40
Sexual Orientation,0.256,0.384,0.356,0.261,0.198,0.96,0.43,-0.00,-52.00,48.79,22.80
Sexual Orientation,0.250,0.382,0.343,0.261,0.186,0.84,0.28,0.07,-33.49,44.56,27.53
