Straight Hair,0.085,0.663,0.069,0.098,0.490,0.53,0.43,0.73,6.83,-1.29,-2.73
Straight Hair,0.085,0.662,0.071,0.087,0.499,0.33,0.78,0.35,141.30,-21.71,-30.22
Straight Hair,0.086,0.660,0.072,0.084,0.498,0.31,0.89,0.25,-15.40,-0.78,-3.18
Straight Hair,0.083,0.662,0.070,0.094,0.496,0.28,0.90,0.28,3.54,1.17,1.99
Straight Hair,0.084,0.657,0.070,0.085,0.497,0.34,0.93,0.25,-0.07,2.50,2.28
Straight Hair,0.099,0.670,0.068,0.083,0.478,0.34,0.90,0.24,3.15,6.01,3.72
Straight Hair,0.096,0.664,0.067,0.085,0.480,0.33,0.91,0.26,-1.53,4.89,1.19
Straight Hair,0.096,0.657,0.069,0.083,0.493,0.36,0.91,0.27,-0.19,-10.18,-5.12
Straight Hair,0.094,0.637,0.061,0.094,0.497,0.36,0.89,0.24,-5.18,-9.03,-1.60
Straight Hair,0.091,0.639,0.062,0.099,0.493,0.37,0.91,0.24,-6.53,0.84,-4.82
Straight Hair,0.088,0.597,0.060,0.096,0.488,0.35,0.89,0.27,-6.16,0.66,0.71
Straight Hair,0.089,0.602,0.062,0.081,0.495,0.36,0.89,0.24,-0.64,-0.44,0.45
Straight Hair,0.089,0.607,0.062,0.087,0.499,0.34,0.89,0.23,-1.76,2.28,0.60
Straight Hair,0.090,0.610,0.064,0.091,0.504,0.38,0.91,0.24,-4.23,0.13,-2.71
Straight Hair,0.087,0.614,0.066,0.090,0.496,0.35,0.89,0.27,0.63,3.05,-0.92
Straight Hair,0.088,0.615,0.066,0.075,0.502,0.37,0.87,0.25,-5.93,-1.40,-3.89
Straight Hair,0.076,0.607,0.062,0.083,0.510,0.37,0.91,0.24,-4.62,-3.93,-2.87
Straight Hair,0.074,0.609,0.064,0.097,0.501,0.36,0.88,0.24,-4.47,-1.06,-2.39
Straight Hair,0.073,0.609,0.063,0.086,0.493,0.37,0.90,0.27,-2.05,3.15,0.53
Straight Hair,0.063,0.641,0.069,0.097,0.504,0.36,0.87,0.26,-1.52,0.73,0.60
Straight Hair,0.065,0.644,0.070,0.099,0.509,0.38,0.89,0.25,-1.32,0.40,1.02
Straight Hair,0.064,0.646,0.070,0.087,0.506,0.35,0.89,0.27,-0.66,-0.21,-1.46
Straight Hair,0.070,0.645,0.086,0.066,0.510,0.36,0.87,0.24,-3.08,-4.04,-0.15
Straight Hair,0.071,0.644,0.084,0.058,0.501,0.37,0.89,0.26,-4.24,-0.53,-0.13
Straight Hair,0.077,0.645,0.081,0.036,0.494,0.37,0.89,0.26,-1.47,2.44,-1.36
Straight Hair,0.069,0.643,0.081,0.031,0.499,0.35,0.88,0.28,-1.23,4.47,-0.11
Straight Hair,0.069,0.645,0.079,0.042,0.498,0.34,0.91,0.27,2.05,1.57,-0.08
Straight Hair,0.081,0.662,0.078,0.035,0.491,0.37,0.93,0.21,-0.77,-1.50,0.70
Straight Hair,0.080,0.658,0.078,0.047,0.480,0.34,0.88,0.25,-5.39,-1.75,3.33
Straight Hair,0.080,0.654,0.074,0.046,0.483,0.36,0.89,0.24,-2.94,-0.41,-0.09
