Transgender,0.208,0.515,0.212,0.232,0.104,0.75,0.08,0.68,-1.20,-4.49,0.30
Transgender,0.202,0.510,0.197,0.233,0.114,0.75,0.03,0.70,-3.44,-7.66,-0.93
Transgender,0.209,0.503,0.192,0.231,0.110,0.77,-0.09,0.69,53.48,-8.92,-6.39
Transgender,0.208,0.500,0.185,0.231,0.102,0.75,-0.09,0.58,202.20,-2.34,-12.51
Transgender,0.206,0.500,0.181,0.232,0.145,0.79,0.17,0.42,250.13,14.48,-4.12
Transgender,0.188,0.513,0.181,0.231,0.152,0.70,0.59,0.15,250.13,33.43,8.27
Transgender,0.191,0.508,0.181,0.230,0.140,0.72,0.75,-0.08,250.13,48.63,25.53
Transgender,0.175,0.503,0.185,0.230,0.124,0.75,0.75,-0.25,250.13,37.11,13.31
Transgender,0.200,0.496,0.194,0.230,0.114,0.76,0.58,-0.36,250.13,0.08,-0.41
Transgender,0.202,0.490,0.189,0.231,0.102,0.63,0.62,-0.51,236.17,-71.18,-22.88
Transgender,0.204,0.485,0.181,0.230,0.094,0.78,0.51,-0.75,84.85,-69.67,-88.80
Transgender,0.230,0.438,0.238,0.235,0.113,0.58,0.58,-0.69,62.60,-34.11,-43.84
Transgender,0.223,0.442,0.226,0.235,0.103,0.61,0.54,-0.72,46.21,-29.98,-22.13
Transgender,0.219,0.445,0.216,0.234,0.099,0.55,0.44,-0.65,15.64,-30.73,5.81
Transgender,0.224,0.455,0.219,0.223,0.129,0.42,0.50,-0.80,56.37,-22.44,10.56
Transgender,0.224,0.461,0.217,0.227,0.115,0.51,0.48,-0.77,-0.54,-33.45,-31.15
Transgender,0.220,0.478,0.215,0.229,0.102,0.49,0.54,-0.82,18.06,-5.20,-7.84
Transgender,0.225,0.482,0.220,0.233,0.092,0.54,0.55,-0.84,3.81,-3.95,-4.01
Transgender,0.196,0.512,0.080,0.234,0.055,0.51,0.49,-0.82,-1.49,-1.08,3.03
Transgender,0.202,0.526,0.100,0.234,0.047,0.49,0.44,-0.80,-11.51,1.85,4.58
Transgender,0.199,0.538,0.116,0.237,0.041,0.50,0.44,-0.79,-11.23,0.26,1.95
Transgender,0.203,0.548,0.136,0.236,0.019,0.49,0.45,-0.79,-7.18,0.50,-0.13
Transgender,0.220,0.520,0.087,0.242,0.000,0.49,0.43,-0.80,-4.35,-0.33,0.09
Transgender,0.222,0.517,0.099,0.243,0.000,0.50,0.44,-0.76,-4.38,4.18,1.31
Transgender,0.218,0.508,0.110,0.245,0.000,0.50,0.45,-0.75,-3.15,-0.45,1.49
Transgender,0.215,0.509,0.124,0.243,0.003,0.51,0.46,-0.79,-3.40,-3.86,2.24
Transgender,0.211,0.523,0.138,0.243,0.016,0.51,0.45,-0.81,-1.49,-1.08,0.19
Transgender,0.217,0.520,0.154,0.242,0.022,0.49,0.46,-0.78,-3.55,0.93,-1.96
Transgender,0.217,0.514,0.162,0.244,0.000,0.51,0.47,-0.78,-2.89,0.79,-2.12
Transgender,0.214,0.510,0.165,0.246,0.000,0.49,0.47,-0.79,-7.01,-0.74,-1.05
