Yes,0.872,0.672,0.467,0.536,0.975,0.89,-0.17,-0.31,74.44,250.13,44.73
Yes,0.872,0.681,0.469,0.553,0.976,1.34,-0.06,-0.44,9.97,17.02,-0.24
Yes,0.910,0.656,0.459,0.545,1.000,0.32,0.12,0.05,-34.13,-250.14,-42.16
Yes,0.908,0.662,0.434,0.505,1.000,-0.34,-0.05,0.98,-3.98,-50.07,6.00
Yes,0.903,0.659,0.431,0.498,1.000,-0.25,0.03,0.97,-2.15,-6.54,-1.44
Yes,0.910,0.660,0.429,0.479,0.985,-0.18,0.02,0.95,-2.21,-1.10,-8.24
Yes,0.905,0.661,0.428,0.491,0.979,-0.17,0.02,0.97,-6.45,-5.98,-4.27
Yes,0.896,0.656,0.426,0.500,0.971,-0.15,0.02,0.99,-4.92,-11.80,-0.68
Yes,0.893,0.605,0.425,0.414,0.958,-0.10,-0.03,0.97,-2.13,-0.08,7.00
Yes,0.921,0.623,0.427,0.459,0.975,-0.08,-0.07,0.99,-1.86,8.87,-2.27
Yes,0.913,0.633,0.428,0.476,0.964,-0.14,-0.05,0.99,-3.50,-1.50,-6.49
Yes,0.910,0.643,0.430,0.484,0.963,-0.13,-0.07,0.97,-4.37,4.96,-3.66
Yes,0.905,0.643,0.430,0.487,0.961,-0.11,-0.07,0.98,4.62,-0.67,0.55
Yes,0.906,0.650,0.437,0.475,0.939,-0.07,-0.10,0.97,13.01,-2.67,-14.93
Yes,0.932,0.626,0.426,0.487,1.000,-0.03,-0.04,0.98,22.05,-1.15,2.21
Yes,0.928,0.643,0.425,0.488,1.000,-0.03,0.16,0.99,18.43,14.98,-26.27
Yes,0.924,0.652,0.434,0.452,1.000,-0.12,0.19,0.95,-0.85,-5.50,-3.40
Yes,0.922,0.657,0.433,0.455,0.994,-0.09,0.18,0.95,-4.47,2.43,-2.98
Yes,0.910,0.661,0.440,0.484,0.983,-0.15,0.19,0.97,-2.05,1.29,-1.32
Yes,0.904,0.663,0.430,0.482,0.977,-0.08,0.26,0.87,14.77,36.76,35.41
Yes,0.910,0.663,0.435,0.485,0.968,-0.31,0.16,0.97,-29.26,10.45,12.60
Yes,0.902,0.672,0.436,0.519,0.967,-0.15,0.13,1.03,-13.88,13.00,-5.17
Yes,0.901,0.673,0.435,0.480,0.969,-0.01,0.10,1.11,-24.60,-46.18,-2.34
Yes,0.900,0.663,0.441,0.495,0.968,0.01,0.04,0.94,5.40,-11.51,-5.01
Yes,0.898,0.658,0.446,0.499,0.955,0.03,0.01,0.97,-6.50,2.03,5.43
Yes,0.903,0.660,0.448,0.480,0.956,-0.03,0.03,0.98,-2.08,-0.97,-3.19
Yes,0.867,0.678,0.469,0.463,0.981,-0.04,0.06,1.01,1.08,-14.95,10.82
Yes,0.863,0.671,0.468,0.477,0.972,0.04,0.03,1.00,-8.25,3.47,-6.52
Yes,0.861,0.671,0.471,0.477,0.976,-0.01,0.03,0.98,-8.23,2.32,-0.27
Yes,0.862,0.675,0.471,0.470,0.968,0.00,0.02,0.97,-0.03,-3.19,-6.12
