k,0.464,0.324,0.506,0.093,1.000,0.96,0.26,0.25,-1.77,0.60,-1.05
k,0.489,0.272,0.511,0.083,1.000,0.96,0.25,0.24,-1.89,-0.05,-0.52
k,0.479,0.283,0.542,0.085,0.959,0.96,0.25,0.24,-3.19,0.42,-0.25
k,0.137,0.229,0.530,0.086,0.890,0.97,0.24,0.24,-2.53,0.18,-1.07
k,0.174,0.239,0.519,0.106,0.899,0.96,0.26,0.24,-3.98,-0.48,-0.41
k,0.183,0.231,0.537,0.105,0.870,0.97,0.25,0.24,-2.23,0.60,-1.21
k,0.240,0.240,0.527,0.119,0.820,0.97,0.24,0.24,-1.74,1.35,-1.03
k,0.257,0.232,0.529,0.115,0.824,0.94,0.25,0.27,1.49,0.95,-0.37
k,0.290,0.233,0.541,0.117,0.786,0.95,0.25,0.27,3.96,-1.31,-1.33
k,0.294,0.219,0.550,0.092,0.811,1.00,0.25,0.24,8.14,-3.33,-4.87
k,0.323,0.261,0.544,0.110,0.754,0.96,0.28,0.26,-1.15,3.16,0.72
k,0.272,0.273,0.564,0.124,0.789,0.96,0.25,0.23,-0.27,1.51,6.44
k,0.288,0.229,0.569,0.124,0.787,0.97,0.24,0.20,2.78,1.94,3.81
k,0.326,0.250,0.544,0.120,0.734,0.97,0.25,0.21,-0.53,1.40,-0.47
k,0.362,0.288,0.542,0.122,0.751,0.96,0.26,0.23,4.31,-0.24,-0.40
k,0.373,0.320,0.533,0.100,0.734,0.96,0.24,0.24,1.89,0.95,-0.76
k,0.378,0.347,0.575,0.089,0.782,0.97,0.26,0.23,0.57,4.56,-2.34
k,0.363,0.331,0.567,0.094,0.870,0.97,0.27,0.25,0.44,6.54,-1.04
k,0.363,0.340,0.550,0.087,0.872,0.95,0.28,0.26,0.93,8.05,0.83
k,0.350,0.267,0.585,0.094,0.806,0.96,0.25,0.26,2.52,4.34,2.27
k,0.331,0.278,0.580,0.077,0.770,0.95,0.24,0.27,3.34,3.89,1.56
k,0.362,0.280,0.589,0.063,0.792,0.96,0.25,0.24,2.92,5.25,3.35
k,0.385,0.391,0.596,0.070,0.733,0.94,0.24,0.27,-2.11,4.11,2.67
k,0.376,0.326,0.612,0.059,0.750,0.94,0.21,0.27,-3.57,1.93,-0.39
k,0.341,0.328,0.598,0.054,0.754,0.97,0.23,0.24,-2.11,-0.93,-4.82
k,0.327,0.303,0.580,0.060,0.799,0.97,0.27,0.25,-2.62,0.99,-4.64
k,0.345,0.309,0.592,0.046,0.817,0.95,0.28,0.28,-2.90,-0.66,-1.95
k,0.309,0.291,0.577,0.076,0.780,0.95,0.28,0.27,-0.79,0.23,-0.47
k,0.304,0.291,0.592,0.077,0.852,0.96,0.27,0.27,1.26,-0.02,1.56
k,0.308,0.311,0.602,0.054,0.846,0.94,0.26,0.28,1.07,-1.07,2.22
