l,0.441,0.397,0.393,0.461,0.704,0.90,0.11,0.48,-3.47,1.93,-0.28
l,0.449,0.388,0.373,0.461,0.693,0.88,0.12,0.48,-3.28,2.60,-1.55
l,0.451,0.384,0.375,0.474,0.681,0.89,0.13,0.49,-3.79,1.43,0.13
l,0.510,0.377,0.366,0.468,0.672,0.87,0.10,0.49,-3.05,-0.23,0.21
l,0.515,0.379,0.383,0.475,0.682,0.89,0.10,0.50,-2.95,1.08,-1.16
l,0.531,0.385,0.380,0.490,0.687,0.88,0.11,0.49,-2.92,1.96,-1.60
l,0.523,0.384,0.378,0.509,0.670,0.87,0.11,0.50,-2.82,0.79,-2.05
l,0.515,0.371,0.378,0.503,0.655,0.89,0.11,0.48,-3.15,0.76,-1.98
l,0.506,0.373,0.379,0.499,0.643,0.89,0.11,0.50,-4.30,1.47,-1.68
l,0.502,0.378,0.374,0.498,0.666,0.89,0.10,0.49,-2.17,0.35,-1.27
l,0.495,0.384,0.366,0.494,0.694,0.88,0.11,0.50,-3.35,1.81,-1.18
l,0.485,0.400,0.355,0.444,0.726,0.89,0.11,0.50,-2.50,2.49,-0.85
l,0.480,0.399,0.347,0.444,0.689,0.88,0.10,0.50,-2.59,1.50,-0.83
l,0.474,0.398,0.337,0.468,0.703,0.88,0.12,0.50,-2.20,1.40,-1.05
l,0.475,0.380,0.347,0.476,0.717,0.87,0.10,0.51,-2.99,0.87,-0.91
l,0.472,0.375,0.346,0.443,0.709,0.88,0.11,0.51,-2.91,0.26,-1.66
l,0.477,0.374,0.366,0.447,0.710,0.87,0.12,0.50,-2.69,-0.27,-0.89
l,0.474,0.368,0.363,0.453,0.703,0.87,0.13,0.51,-1.89,-0.21,0.48
l,0.470,0.360,0.368,0.436,0.703,0.89,0.11,0.49,-2.73,-1.31,-1.09
l,0.468,0.372,0.322,0.442,0.734,0.89,0.11,0.51,-2.49,0.08,-1.17
l,0.465,0.370,0.338,0.465,0.738,0.88,0.11,0.51,-3.23,-0.63,-1.63
l,0.466,0.359,0.352,0.443,0.733,0.88,0.11,0.50,-1.95,-0.06,-0.62
l,0.463,0.361,0.362,0.461,0.742,0.88,0.11,0.50,-3.22,-1.19,-1.19
l,0.463,0.346,0.376,0.476,0.742,0.87,0.11,0.50,-2.57,-0.77,-0.68
l,0.464,0.350,0.386,0.471,0.708,0.87,0.11,0.50,-2.47,-0.98,-1.04
l,0.464,0.350,0.394,0.464,0.737,0.89,0.12,0.50,-3.08,0.25,-1.19
l,0.463,0.345,0.389,0.459,0.740,0.88,0.13,0.50,-3.19,-0.84,-1.45
l,0.464,0.343,0.380,0.456,0.731,0.88,0.11,0.50,-3.07,-1.44,-0.53
l,0.470,0.344,0.378,0.466,0.729,0.90,0.12,0.49,-3.31,-1.19,-0.89
l,0.469,0.342,0.378,0.445,0.739,0.89,0.12,0.48,-2.29,-0.02,-1.27
