n,0.294,0.584,0.162,0.754,0.712,0.85,0.04,0.54,-6.18,1.58,1.27
n,0.283,0.580,0.155,0.772,0.691,0.85,0.05,0.54,-3.92,1.12,-0.25
n,0.279,0.578,0.148,0.757,0.684,0.86,0.04,0.54,-5.23,-0.24,-1.54
n,0.249,0.577,0.158,0.746,0.706,0.87,0.03,0.54,-4.87,-0.78,-2.08
n,0.257,0.580,0.168,0.734,0.721,0.86,0.03,0.54,-3.17,-0.66,-1.94
n,0.252,0.580,0.175,0.743,0.701,0.86,0.04,0.54,-3.89,1.69,-0.95
n,0.291,0.578,0.176,0.737,0.709,0.86,0.04,0.55,-3.45,1.55,-0.77
n,0.298,0.579,0.158,0.731,0.715,0.86,0.03,0.54,-4.40,0.59,-0.95
n,0.294,0.579,0.150,0.722,0.689,0.86,0.04,0.54,-3.70,1.20,-1.07
n,0.276,0.577,0.156,0.699,0.676,0.86,0.04,0.54,-3.29,0.12,-0.48
n,0.280,0.581,0.149,0.692,0.688,0.85,0.03,0.54,-2.29,-1.01,0.05
n,0.271,0.579,0.143,0.686,0.677,0.86,0.04,0.54,-3.30,-0.62,-0.55
n,0.270,0.578,0.150,0.686,0.704,0.86,0.04,0.54,-2.80,0.03,-1.53
n,0.292,0.579,0.119,0.648,0.713,0.87,0.04,0.54,-2.69,0.50,-1.29
n,0.294,0.579,0.107,0.636,0.721,0.85,0.04,0.54,-3.30,1.05,-0.99
n,0.296,0.566,0.116,0.648,0.704,0.85,0.03,0.54,-3.66,1.93,-1.80
n,0.277,0.567,0.123,0.682,0.709,0.86,0.04,0.55,-2.44,0.92,-1.05
n,0.273,0.569,0.111,0.685,0.791,0.86,0.04,0.55,-3.11,-0.41,-0.85
n,0.252,0.575,0.117,0.700,0.763,0.86,0.04,0.54,-2.45,-0.60,-1.22
n,0.248,0.580,0.124,0.713,0.729,0.86,0.03,0.54,-3.20,0.98,-1.72
n,0.248,0.576,0.127,0.693,0.697,0.86,0.04,0.54,-3.46,1.87,-1.31
n,0.181,0.585,0.133,0.641,0.554,0.86,0.04,0.55,-4.09,0.59,-1.67
n,0.189,0.578,0.119,0.645,0.570,0.85,0.04,0.55,-3.40,-0.11,-1.50
n,0.206,0.570,0.114,0.640,0.567,0.86,0.04,0.54,-3.11,0.07,-1.91
n,0.212,0.563,0.119,0.645,0.595,0.86,0.05,0.54,-2.33,0.02,-1.23
n,0.218,0.568,0.118,0.690,0.595,0.85,0.04,0.55,-2.09,-0.19,-1.18
n,0.240,0.575,0.111,0.687,0.622,0.86,0.05,0.54,-1.69,1.00,-0.82
n,0.243,0.579,0.112,0.687,0.612,0.86,0.04,0.55,-1.37,0.78,-0.92
n,0.249,0.578,0.117,0.702,0.617,0.86,0.04,0.55,-2.78,0.58,-1.28
n,0.249,0.583,0.133,0.684,0.625,0.85,0.04,0.55,-3.37,0.78,-0.86
