o,0.485,0.486,0.339,0.514,0.684,0.97,0.15,0.34,-4.77,1.99,-2.11
o,0.469,0.500,0.354,0.532,0.695,0.97,0.15,0.35,-4.89,-1.01,-3.40
o,0.472,0.485,0.358,0.541,0.709,0.98,0.13,0.31,-1.08,-2.37,-5.30
o,0.474,0.496,0.351,0.502,0.711,0.98,0.12,0.31,2.68,-1.77,-6.64
o,0.470,0.503,0.346,0.514,0.715,0.94,0.18,0.29,0.90,-2.90,-10.59
o,0.472,0.485,0.336,0.513,0.704,0.96,0.22,0.29,-7.95,-1.34,-11.34
o,0.473,0.490,0.333,0.521,0.694,0.98,0.21,0.29,-9.07,2.11,-7.90
o,0.470,0.488,0.335,0.503,0.679,0.92,0.21,0.33,-8.66,2.59,-5.92
o,0.472,0.489,0.340,0.510,0.688,0.92,0.19,0.33,-1.61,2.00,-4.17
o,0.480,0.556,0.348,0.512,0.693,0.96,0.21,0.35,-1.13,8.44,-3.49
o,0.476,0.530,0.345,0.517,0.709,0.93,0.19,0.37,-1.42,1.71,-4.94
o,0.480,0.525,0.335,0.516,0.718,0.94,0.21,0.37,-2.68,1.31,-6.85
o,0.478,0.497,0.341,0.510,0.727,0.93,0.19,0.36,-5.31,1.19,-7.09
o,0.477,0.517,0.340,0.517,0.759,0.96,0.21,0.34,-3.40,-0.68,-4.87
o,0.478,0.521,0.311,0.534,0.751,0.94,0.19,0.30,2.63,-3.63,-1.74
o,0.480,0.508,0.315,0.522,0.734,0.94,0.22,0.31,1.73,0.16,-6.85
o,0.478,0.507,0.334,0.532,0.735,0.96,0.26,0.32,-1.29,6.47,-6.32
o,0.402,0.514,0.326,0.544,0.703,0.95,0.26,0.33,-2.81,2.94,2.27
o,0.416,0.499,0.322,0.540,0.711,0.96,0.23,0.31,-1.22,3.16,6.11
o,0.430,0.501,0.333,0.551,0.698,0.94,0.19,0.34,-1.69,5.60,1.74
o,0.441,0.478,0.333,0.555,0.692,0.91,0.19,0.38,-7.37,8.45,-3.66
o,0.430,0.484,0.328,0.563,0.685,0.95,0.17,0.35,2.48,4.14,-5.40
o,0.446,0.485,0.325,0.551,0.710,0.92,0.24,0.32,5.05,4.76,-5.04
o,0.453,0.470,0.326,0.540,0.712,0.88,0.27,0.39,0.11,6.47,-7.89
o,0.455,0.453,0.329,0.553,0.697,0.90,0.29,0.46,-6.89,6.73,-5.51
o,0.474,0.462,0.323,0.542,0.687,0.91,0.29,0.44,-6.22,-3.45,1.94
o,0.476,0.437,0.325,0.550,0.678,0.91,0.24,0.37,-4.94,-11.44,3.59
o,0.479,0.430,0.319,0.556,0.665,0.95,0.22,0.29,-2.23,-7.50,1.44
o,0.476,0.444,0.316,0.549,0.657,0.94,0.24,0.31,-8.36,-0.77,2.73
o,0.490,0.459,0.319,0.551,0.653,0.93,0.21,0.35,-6.74,0.91,2.79
