q,0.573,0.339,0.763,0.817,0.681,-0.48,-0.11,0.79,-2.87,4.66,2.00
q,0.574,0.383,0.787,0.819,0.706,-0.50,-0.09,0.82,-1.32,0.73,1.37
q,0.576,0.368,0.816,0.808,0.729,-0.52,-0.10,0.82,-4.33,3.62,0.03
q,0.571,0.360,0.814,0.792,0.727,-0.52,-0.12,0.83,-2.43,1.15,0.67
q,0.562,0.363,0.805,0.796,0.735,-0.52,-0.11,0.82,-1.41,1.54,0.33
q,0.576,0.368,0.834,0.813,0.736,-0.53,-0.10,0.81,-4.11,-1.24,-0.56
q,0.587,0.365,0.819,0.802,0.731,-0.52,-0.10,0.81,-3.08,-0.55,0.04
q,0.589,0.348,0.783,0.804,0.721,-0.51,-0.11,0.82,-3.55,0.98,0.76
q,0.593,0.340,0.793,0.794,0.763,-0.51,-0.11,0.82,-2.42,0.59,1.11
q,0.614,0.366,0.824,0.814,0.757,-0.51,-0.10,0.81,-2.34,3.79,0.89
q,0.610,0.379,0.813,0.814,0.776,-0.53,-0.11,0.81,-2.27,1.37,1.05
q,0.605,0.396,0.784,0.799,0.742,-0.51,-0.10,0.79,-2.06,4.32,2.01
q,0.618,0.381,0.794,0.811,0.763,-0.53,-0.11,0.83,-2.65,2.76,1.56
q,0.676,0.364,0.755,0.821,0.716,-0.52,-0.10,0.81,-4.45,2.73,-0.42
q,0.667,0.357,0.786,0.800,0.744,-0.53,-0.10,0.82,-3.98,3.83,-0.05
q,0.660,0.364,0.818,0.796,0.763,-0.54,-0.10,0.81,-3.79,2.09,0.89
q,0.654,0.363,0.812,0.797,0.745,-0.54,-0.10,0.81,-4.15,5.37,1.82
q,0.649,0.358,0.815,0.801,0.674,-0.54,-0.09,0.81,-4.50,1.83,0.51
q,0.633,0.342,0.797,0.794,0.709,-0.54,-0.09,0.81,-7.13,-0.79,-0.56
q,0.631,0.348,0.803,0.777,0.706,-0.52,-0.11,0.78,-8.86,3.73,-1.49
q,0.613,0.340,0.787,0.765,0.729,-0.54,-0.10,0.78,-4.19,1.44,0.96
q,0.612,0.340,0.767,0.774,0.727,-0.55,-0.11,0.79,-4.02,5.56,2.78
q,0.622,0.341,0.768,0.767,0.718,-0.55,-0.11,0.80,-2.85,1.15,2.64
q,0.616,0.326,0.757,0.764,0.728,-0.56,-0.10,0.79,-5.21,4.46,2.07
q,0.615,0.323,0.758,0.779,0.720,-0.56,-0.11,0.79,-3.49,1.38,1.36
q,0.581,0.333,0.764,0.780,0.752,-0.56,-0.10,0.80,-2.66,-1.31,0.74
q,0.592,0.333,0.792,0.786,0.732,-0.56,-0.10,0.79,-1.31,-0.19,2.46
q,0.594,0.334,0.801,0.775,0.754,-0.55,-0.09,0.79,-5.02,0.90,0.10
q,0.569,0.341,0.816,0.764,0.741,-0.56,-0.10,0.77,-2.90,7.15,0.15
q,0.560,0.352,0.798,0.780,0.726,-0.56,-0.10,0.79,-4.89,2.79,-1.63
