r,0.486,0.346,0.265,0.516,0.646,0.96,-0.04,0.37,-2.47,0.46,-0.84
r,0.485,0.341,0.275,0.510,0.642,0.96,-0.02,0.37,-2.78,0.27,-1.32
r,0.484,0.347,0.277,0.501,0.672,0.96,-0.02,0.37,-3.02,-0.24,-0.95
r,0.487,0.353,0.279,0.504,0.669,0.96,-0.02,0.36,-2.80,0.22,-1.27
r,0.483,0.348,0.276,0.511,0.663,0.97,-0.03,0.36,-2.66,-0.69,-1.55
r,0.472,0.303,0.285,0.501,0.666,0.96,-0.02,0.37,-1.82,0.50,-1.63
r,0.473,0.310,0.285,0.508,0.658,0.95,-0.01,0.37,-2.90,-0.10,-0.61
r,0.476,0.312,0.284,0.497,0.634,0.97,-0.02,0.37,-2.74,1.08,-0.28
r,0.480,0.320,0.283,0.476,0.653,0.97,-0.03,0.37,-2.99,0.09,-0.82
r,0.482,0.323,0.282,0.356,0.699,0.95,-0.02,0.37,-1.84,-0.65,-1.42
r,0.478,0.329,0.287,0.388,0.706,0.96,-0.03,0.36,-3.39,-0.08,-1.10
r,0.477,0.346,0.290,0.405,0.694,0.95,-0.02,0.36,-2.95,-0.40,-0.82
r,0.480,0.345,0.289,0.412,0.676,0.96,-0.02,0.36,-3.03,2.28,-0.47
r,0.476,0.355,0.317,0.496,0.691,0.95,-0.02,0.37,-2.40,0.91,-0.79
r,0.477,0.352,0.308,0.508,0.682,0.97,-0.03,0.38,-2.40,0.05,-1.60
r,0.476,0.351,0.308,0.510,0.702,0.96,-0.02,0.37,-2.63,0.76,-1.66
r,0.478,0.441,0.309,0.498,0.706,0.95,-0.03,0.37,-2.63,1.13,-1.25
r,0.476,0.428,0.295,0.498,0.728,0.95,-0.03,0.37,-2.87,1.24,-0.66
r,0.480,0.422,0.289,0.492,0.711,0.97,-0.03,0.37,-2.66,0.99,-1.05
r,0.477,0.418,0.274,0.476,0.696,0.94,-0.03,0.38,-2.79,1.21,-1.37
r,0.483,0.402,0.278,0.502,0.703,0.96,-0.02,0.37,-2.65,-1.72,-1.27
r,0.460,0.403,0.292,0.503,0.700,0.95,-0.02,0.36,-2.50,-0.74,-0.60
r,0.464,0.397,0.287,0.487,0.674,0.95,-0.03,0.36,-3.02,1.47,-1.01
r,0.467,0.392,0.300,0.486,0.662,0.95,-0.02,0.36,-2.37,0.02,-1.05
r,0.473,0.388,0.305,0.481,0.654,0.96,-0.02,0.37,-2.71,0.31,-0.96
r,0.454,0.386,0.132,0.462,0.687,0.95,-0.03,0.36,-2.61,-0.05,-0.66
r,0.457,0.371,0.159,0.472,0.695,0.96,-0.02,0.36,-2.25,-0.16,-0.54
r,0.461,0.378,0.167,0.471,0.698,0.96,-0.02,0.38,-2.69,-0.26,-0.63
r,0.460,0.280,0.189,0.491,0.707,0.97,-0.02,0.36,-1.90,-1.44,-1.11
r,0.448,0.263,0.189,0.469,0.695,0.95,-0.02,0.36,-3.59,1.35,-1.24
