t,0.501,0.476,0.393,0.507,0.903,0.95,0.07,0.35,-2.39,-4.25,4.05
t,0.506,0.469,0.395,0.503,0.912,0.98,0.04,0.32,-0.07,-7.88,5.00
t,0.509,0.470,0.398,0.495,0.909,0.98,0.02,0.29,-1.02,-5.21,1.95
t,0.509,0.470,0.397,0.485,0.889,0.97,0.02,0.29,-1.14,-2.97,-0.22
t,0.510,0.474,0.411,0.490,0.888,0.97,0.05,0.30,-2.57,0.19,-3.32
t,0.508,0.476,0.412,0.489,0.910,0.97,0.08,0.31,-3.05,0.77,-2.53
t,0.507,0.480,0.399,0.504,0.917,0.98,0.07,0.32,-3.96,-0.28,-1.25
t,0.511,0.467,0.406,0.501,0.908,0.98,0.07,0.31,-2.76,-1.59,-0.98
t,0.511,0.480,0.413,0.503,0.903,0.97,0.07,0.31,-3.25,-1.56,-0.60
t,0.512,0.484,0.416,0.516,0.909,0.97,0.05,0.31,-3.13,-0.67,-0.69
t,0.518,0.489,0.419,0.506,0.882,0.97,0.04,0.31,-3.63,1.26,-0.87
t,0.515,0.471,0.416,0.497,0.847,0.98,0.06,0.31,-2.62,1.53,-1.49
t,0.514,0.463,0.417,0.509,0.864,0.97,0.06,0.32,-3.21,1.43,-1.62
t,0.510,0.452,0.425,0.541,0.854,0.97,0.07,0.33,-3.85,-0.08,-1.07
t,0.507,0.467,0.413,0.528,0.868,0.96,0.06,0.34,-2.85,-2.44,-0.92
t,0.505,0.461,0.402,0.527,0.871,0.96,0.05,0.32,-4.56,-2.75,-2.40
t,0.499,0.471,0.406,0.534,0.879,0.96,0.04,0.31,-6.01,-0.90,-4.90
t,0.502,0.473,0.400,0.527,0.892,0.98,0.07,0.31,-7.31,0.66,-5.83
t,0.503,0.466,0.392,0.508,0.877,0.99,0.07,0.33,-7.60,0.47,-3.72
t,0.503,0.449,0.395,0.499,0.862,0.99,0.09,0.34,-5.95,-4.63,-1.56
t,0.508,0.454,0.407,0.516,0.844,0.98,0.08,0.30,-4.55,-7.35,0.62
t,0.505,0.468,0.402,0.524,0.856,0.98,0.08,0.28,-5.36,-5.84,1.24
t,0.507,0.472,0.396,0.533,0.845,0.98,0.07,0.27,-3.36,-4.49,1.19
t,0.506,0.474,0.394,0.542,0.854,0.99,0.06,0.26,-3.45,-3.66,1.38
t,0.507,0.468,0.390,0.528,0.836,0.98,0.05,0.27,-3.98,-0.58,1.70
t,0.510,0.473,0.380,0.524,0.838,1.00,0.04,0.28,-3.92,0.56,0.56
t,0.515,0.466,0.373,0.540,0.846,0.99,0.05,0.30,-4.24,0.68,-1.42
t,0.511,0.474,0.391,0.549,0.863,0.99,0.06,0.28,-4.60,-0.36,-2.27
t,0.510,0.469,0.384,0.533,0.917,0.99,0.06,0.28,-5.05,-1.54,-1.73
t,0.504,0.465,0.386,0.519,0.918,0.99,0.04,0.28,-4.02,-2.15,-2.32
