v,0.480,0.371,0.338,0.480,0.725,0.94,0.03,0.43,-5.05,-0.50,-3.92
v,0.470,0.364,0.328,0.561,0.702,0.93,0.04,0.43,-4.73,-0.69,-0.81
v,0.473,0.383,0.322,0.561,0.697,0.93,0.02,0.43,-2.10,-2.60,3.73
v,0.474,0.376,0.326,0.547,0.679,0.94,-0.02,0.42,-1.46,-1.59,1.76
v,0.477,0.371,0.309,0.514,0.677,0.93,-0.01,0.42,-2.21,0.08,-1.37
v,0.484,0.438,0.343,0.474,0.668,0.93,0.01,0.42,-3.60,1.60,-1.73
v,0.480,0.422,0.338,0.465,0.657,0.92,0.00,0.42,-1.21,-0.41,0.50
v,0.484,0.409,0.333,0.460,0.647,0.94,-0.00,0.43,-0.89,1.83,-0.23
v,0.485,0.411,0.334,0.445,0.638,0.91,0.01,0.43,-0.54,2.93,-5.37
v,0.483,0.406,0.333,0.436,0.663,0.94,0.04,0.47,-4.92,4.73,-3.41
v,0.484,0.396,0.335,0.434,0.656,0.90,0.03,0.47,-3.71,-3.26,1.05
v,0.485,0.391,0.324,0.447,0.655,0.95,0.03,0.42,-2.67,-1.45,3.09
v,0.481,0.391,0.325,0.433,0.672,0.94,-0.03,0.42,-0.88,3.51,4.50
v,0.506,0.376,0.324,0.442,0.724,0.89,-0.04,0.42,3.99,2.08,-4.74
v,0.502,0.363,0.326,0.439,0.707,0.98,-0.02,0.40,1.05,6.05,-3.80
v,0.501,0.358,0.311,0.435,0.698,0.93,0.02,0.47,-2.04,-0.60,-3.23
v,0.498,0.363,0.310,0.443,0.671,0.91,0.06,0.42,1.18,-4.97,-2.49
v,0.495,0.372,0.300,0.449,0.701,0.93,0.05,0.40,6.93,-1.12,3.44
v,0.491,0.374,0.292,0.448,0.702,0.94,0.01,0.42,6.02,2.38,3.54
v,0.493,0.368,0.288,0.436,0.705,0.90,0.03,0.44,4.83,1.47,-2.15
v,0.492,0.386,0.299,0.433,0.713,0.92,0.06,0.44,-0.44,3.24,-4.08
v,0.510,0.370,0.308,0.420,0.720,0.93,0.09,0.49,-6.37,9.22,-2.48
v,0.511,0.364,0.302,0.404,0.722,0.88,0.10,0.53,-6.85,0.36,3.51
v,0.506,0.374,0.306,0.402,0.724,0.89,0.02,0.47,-2.18,-11.99,8.96
v,0.500,0.368,0.298,0.409,0.721,0.91,-0.03,0.41,-5.82,-5.54,5.54
v,0.494,0.370,0.301,0.421,0.721,0.93,-0.06,0.44,-8.56,2.92,1.02
v,0.491,0.380,0.306,0.431,0.727,0.92,-0.04,0.46,-9.10,-0.51,-4.89
v,0.491,0.379,0.307,0.414,0.739,0.93,0.00,0.44,-9.07,-3.05,-8.31
v,0.491,0.377,0.299,0.412,0.714,0.94,0.04,0.43,-7.78,-4.82,-4.16
v,0.489,0.386,0.308,0.434,0.682,0.93,0.02,0.41,-4.30,-6.10,1.43
