x,0.520,0.517,0.436,0.604,0.951,1.01,0.25,0.07,7.62,3.23,-7.34
x,0.522,0.517,0.436,0.604,0.944,0.98,0.25,0.09,1.89,11.31,-7.35
x,0.519,0.526,0.436,0.576,0.949,0.99,0.27,0.13,1.85,10.76,-6.18
x,0.539,0.537,0.436,0.599,0.912,0.99,0.28,0.15,2.03,9.87,-6.84
x,0.530,0.531,0.437,0.598,0.911,0.98,0.29,0.16,-1.93,6.44,-8.75
x,0.528,0.526,0.438,0.598,0.891,1.04,0.28,0.13,-6.92,21.08,-28.24
x,0.530,0.520,0.411,0.593,0.888,0.99,0.28,0.15,-45.13,55.17,-96.73
x,0.529,0.515,0.391,0.587,0.872,0.83,0.35,0.25,-15.13,65.98,-47.33
x,0.526,0.500,0.405,0.566,0.880,0.85,0.47,0.31,-1.27,49.53,-24.55
x,0.527,0.489,0.413,0.569,0.882,0.82,0.50,0.35,1.67,18.76,3.34
x,0.515,0.499,0.442,0.544,0.883,0.84,0.45,0.37,6.44,8.84,14.01
x,0.513,0.509,0.438,0.545,0.887,0.85,0.40,0.38,-2.15,3.04,10.71
x,0.513,0.496,0.439,0.572,0.882,0.85,0.39,0.37,-9.05,0.94,-2.76
x,0.515,0.495,0.438,0.573,0.870,0.88,0.39,0.35,-3.92,-5.14,-1.20
x,0.509,0.484,0.421,0.562,0.883,0.86,0.42,0.32,-1.45,-1.08,-1.24
x,0.509,0.483,0.428,0.563,0.892,0.88,0.41,0.32,-2.94,3.57,-0.59
x,0.505,0.476,0.428,0.567,0.887,0.84,0.40,0.36,-3.49,-0.33,-0.61
x,0.508,0.483,0.436,0.561,0.907,0.88,0.41,0.35,-4.81,-0.47,-3.21
x,0.503,0.497,0.421,0.564,0.909,0.87,0.41,0.35,-4.21,-1.60,-1.50
x,0.505,0.498,0.422,0.569,0.900,0.87,0.43,0.34,-2.98,0.18,0.11
x,0.507,0.502,0.439,0.574,0.904,0.87,0.40,0.33,-1.58,-2.82,1.19
x,0.508,0.494,0.444,0.572,0.902,0.85,0.39,0.35,-1.38,-5.31,0.54
x,0.513,0.485,0.442,0.575,0.883,0.89,0.42,0.33,0.42,-5.98,1.25
x,0.513,0.498,0.444,0.576,0.884,0.86,0.41,0.32,-7.88,3.16,-0.66
x,0.510,0.499,0.443,0.576,0.906,0.87,0.40,0.34,-4.83,-1.17,-0.92
x,0.505,0.491,0.424,0.584,0.891,0.88,0.40,0.34,-4.27,2.12,-0.60
x,0.509,0.499,0.419,0.568,0.885,0.86,0.41,0.35,-7.47,-1.79,-0.48
x,0.508,0.500,0.429,0.569,0.869,0.88,0.41,0.35,-17.18,-3.31,-2.53
x,0.507,0.487,0.430,0.578,0.874,0.88,0.40,0.34,-16.75,-1.22,-2.17
x,0.502,0.485,0.422,0.592,0.871,0.86,0.39,0.34,-9.50,2.35,-1.08
