y,0.558,0.417,0.888,0.739,0.680,0.69,0.26,0.67,-3.26,0.28,-0.71
y,0.556,0.440,0.865,0.751,0.612,0.69,0.28,0.68,-1.88,-0.63,-1.25
y,0.560,0.436,0.880,0.744,0.595,0.69,0.28,0.68,-4.53,-0.67,-1.92
y,0.577,0.447,0.875,0.736,0.602,0.69,0.28,0.67,-2.24,0.21,-2.07
y,0.605,0.442,0.899,0.748,0.637,0.68,0.28,0.69,-3.31,1.12,-1.49
y,0.605,0.449,0.906,0.742,0.648,0.69,0.28,0.68,-1.07,-1.52,-0.01
y,0.604,0.453,0.920,0.745,0.640,0.69,0.28,0.67,-0.79,0.18,-0.37
y,0.601,0.439,0.938,0.755,0.652,0.69,0.29,0.68,-3.07,0.60,-0.47
y,0.524,0.453,1.000,0.753,0.627,0.69,0.28,0.68,-1.83,0.60,0.08
y,0.482,0.455,1.000,0.753,0.633,0.70,0.28,0.68,-4.00,-0.04,-2.08
y,0.497,0.446,0.983,0.753,0.624,0.70,0.29,0.68,-3.58,0.48,-1.78
y,0.507,0.448,0.972,0.752,0.623,0.69,0.28,0.68,-3.32,1.83,-1.24
y,0.539,0.440,0.967,0.761,0.637,0.69,0.29,0.68,-2.66,0.44,-0.28
y,0.550,0.453,0.961,0.772,0.659,0.69,0.30,0.67,-1.69,2.19,-1.59
y,0.549,0.444,0.938,0.766,0.639,0.67,0.30,0.68,-3.16,1.73,-0.77
y,0.557,0.451,0.919,0.765,0.661,0.68,0.29,0.69,-1.37,2.48,-0.59
y,0.550,0.460,0.924,0.778,0.658,0.68,0.29,0.69,-2.66,0.34,-1.08
y,0.535,0.433,0.922,0.785,0.695,0.69,0.29,0.68,-2.37,-0.40,-1.09
y,0.531,0.438,0.920,0.774,0.691,0.68,0.29,0.68,-2.53,0.37,-1.21
y,0.534,0.433,0.905,0.778,0.698,0.67,0.29,0.68,-2.62,0.70,-0.51
y,0.535,0.437,0.882,0.768,0.693,0.69,0.28,0.68,-1.61,2.20,-1.27
y,0.537,0.423,0.860,0.758,0.800,0.68,0.30,0.69,-3.64,0.63,-1.76
y,0.562,0.414,0.865,0.757,0.801,0.68,0.30,0.67,-1.48,0.40,-0.50
y,0.562,0.422,0.885,0.754,0.774,0.69,0.28,0.69,-3.05,0.42,-1.03
y,0.576,0.415,0.887,0.737,0.749,0.67,0.29,0.69,-3.02,0.95,-0.92
y,0.600,0.413,0.965,0.750,0.735,0.67,0.28,0.68,-1.82,0.58,-0.77
y,0.598,0.410,0.962,0.748,0.725,0.67,0.28,0.69,-2.98,-0.75,-1.34
y,0.598,0.397,0.965,0.757,0.741,0.67,0.28,0.68,-2.64,0.03,-1.52
y,0.596,0.392,0.941,0.754,0.733,0.68,0.30,0.69,-2.68,2.15,-1.38
y,0.583,0.367,0.913,0.719,0.722,0.68,0.29,0.70,-1.59,0.33,-0.16
